"","NR","NR.adj","56T1.pvalue","56T2.pvalue","56T3.pvalue","56T4.pvalue","means","sign"
"1",3645,1786.05,2.62773787624566e-16,2.45539558676546e-12,5.2456785213787e-19,6.24196949227201e-17,6.13930326203964e-13,"***"
"3",3645,1786.05,2.62773787624566e-16,2.45539558676546e-12,5.2456785213787e-19,6.24196949227201e-17,6.13930326203964e-13,"***"
"6",3117,1527.33,9.09559029913016e-16,8.41259552282339e-12,2.8413961199578e-18,2.1447987286239e-16,2.10343060078057e-12,"***"
"2",2951,1445.99,1.40781443974127e-15,1.29562866431304e-11,5.14443246907017e-18,3.31154860524351e-16,3.23950768921578e-12,"***"
"4",2951,1445.99,1.40781443974127e-15,1.29562866431304e-11,5.14443246907017e-18,3.31154860524351e-16,3.23950768921578e-12,"***"
"5",1347,660.03,6.62757911774877e-13,5.11909333068597e-09,2.07991823075196e-14,1.51945934047895e-13,1.27998220842852e-09,"***"
